Estado,Ubicacion,Precio_MXN,Recamaras,Banos,Superficie_m2,URL_Propiedad,Latitud,Longitud,Direccion_Buscada
Aguascalientes,"Casa en venta, Frankfu #1, Col. Parque Industrial Siglo XXI, Aguascalientes, Aguascalientes, México, C.P. 20283, ID: 28564344",2368000.0,3.0,2.0,124.0,https://propiedades.com/inmuebles/casa-en-venta-frankfu-1-parque-industrial-siglo-xxi-aguascalientes-28564344,,,
Aguascalientes,", Col. Residencial las Plazas, Aguascalientes, Aguascalientes, México, C.P. 20126, ID: 29607293",4950000.0,3.0,3.0,228.0,https://propiedades.com/inmuebles/casa-en-venta-residencial-las-plazas-aguascalientes-29607293,,,
Aguascalientes,"Venta casa en , Col. Las Arboledas, Aguascalientes, Aguascalientes, México, C.P. 20020, ID: 28711515",4850000.0,8.0,7.0,350.0,,,,
Aguascalientes,"Casa disponible en venta en , Col. Bulevares 2a. Sección, Aguascalientes, Aguascalientes, México, C.P. 20288, ID: 29607299",3500000.0,3.0,2.0,220.0,https://propiedades.com/inmuebles/casa-en-venta-bulevares-2a-seccion-aguascalientes-29607299,,,
Aguascalientes,", Col. La Trinidad, Aguascalientes, Aguascalientes, México, C.P. 20326, ID: 29607337",2096000.0,3.0,3.0,96.0,https://propiedades.com/inmuebles/casa-en-venta-la-trinidad-aguascalientes-29607337,,,
Aguascalientes,", Col. Chicahuales I, Jesús María, Aguascalientes, México, C.P. 20926, ID: 29607532",800000.0,,,70.0,,,,
Aguascalientes,"Casa en venta, , Col. Puerta Grande, Jesús María, Aguascalientes, México, C.P. 20925, ID: 29607454",2219000.0,2.0,2.0,112.0,https://propiedades.com/inmuebles/casa-en-venta-puerta-grande-aguascalientes-29607454,,,
Aguascalientes,"Casa en venta disponible en , Col. Colinas del Rio, Aguascalientes, Aguascalientes, México, C.P. 20010, ID: 29607493",3200000.0,5.0,3.0,160.0,,,,
Aguascalientes,"Venta casa en , Col. Condominio Q Campestre Residencial, Jesús María, Aguascalientes, México, C.P. 20997, ID: 29607290",5400000.0,3.0,3.0,221.0,,,,
Aguascalientes,", Col. Trojes de Alonso, Aguascalientes, Aguascalientes, México, C.P. 20116, ID: 29607527",7108000.0,5.0,2.0,220.0,,,,
Aguascalientes,"Casa en venta disponible en , Col. La Escalera, Jesús María, Aguascalientes, México, C.P. 20922, ID: 29607222",1350000.0,2.0,2.0,250.0,,,,
Aguascalientes,"Casa disponible en venta en , Col. Solidaridad 2a Sección, Aguascalientes, Aguascalientes, México, C.P. 20263, ID: 29607259",1500000.0,4.0,2.0,96.0,https://propiedades.com/inmuebles/casa-en-venta-solidaridad-2a-seccion-aguascalientes-29607259,,,
Aguascalientes,"Venta casa en , Col. La Rioja, Aguascalientes, Aguascalientes, México, C.P. 20326, ID: 29607332",2100000.0,3.0,3.0,119.0,,,,
Aguascalientes,"Venta de casa AV. FLOR DE NOCHEBUENA #00, Col. Villa Sur, Aguascalientes, Aguascalientes, México, C.P. 20296, ID: 29122077",1293833.0,3.0,1.0,110.0,https://propiedades.com/inmuebles/casa-en-venta-av-flor-de-nochebuena-00-villa-sur-aguascalientes-29122077,,,
Aguascalientes,"Casa en venta, , Col. Residencial las Plazas, Aguascalientes, Aguascalientes, México, C.P. 20126, ID: 29607295",5700000.0,3.0,3.0,241.0,,,,
Aguascalientes,"Casa en venta, , Col. Salto de Ojocaliente, Aguascalientes, Aguascalientes, México, C.P. 20263, ID: 29607264",1590000.0,2.0,1.0,144.0,https://propiedades.com/inmuebles/casa-en-venta-salto-de-ojocaliente-aguascalientes-29607264,,,
Aguascalientes,"Se vende casa , Col. Pirámides, Aguascalientes, Aguascalientes, México, C.P. 20277, ID: 29607301",1890000.0,3.0,2.0,199.0,https://propiedades.com/inmuebles/casa-en-venta-piramides-aguascalientes-29607301,,,
Aguascalientes,"Venta de casa en , Col. Cerro Alto, Aguascalientes, Aguascalientes, México, C.P. 20179, ID: 29607245",1680000.0,3.0,2.0,105.0,https://propiedades.com/inmuebles/casa-en-venta-cerro-alto-aguascalientes-29607245,,,
Aguascalientes,", Col. Condominio La terraza, Aguascalientes, Aguascalientes, México, C.P. 20298, ID: 29607477",4300000.0,3.0,2.0,144.0,https://propiedades.com/inmuebles/casa-en-venta-condominio-la-terraza-aguascalientes-29607477,,,
Aguascalientes,"Se vende casa , Col. Condominio La terraza, Aguascalientes, Aguascalientes, México, C.P. 20298, ID: 29607480",9209736.0,3.0,3.0,288.0,https://propiedades.com/inmuebles/casa-en-venta-condominio-la-terraza-aguascalientes-29607480,,,
Aguascalientes,", Col. Los Calicantos, Aguascalientes, Aguascalientes, México, C.P. 20119, ID: 28979843",4800000.0,3.0,2.0,295.0,https://propiedades.com/inmuebles/casa-en-venta-los-calicantos-aguascalientes-28979843,,,
Aguascalientes,"Venta de casa , Col. Maravillas, Jesús María, Aguascalientes, México, C.P. 20900, ID: 29607348",885000.0,3.0,,100.0,https://propiedades.com/inmuebles/casa-en-venta-maravillas-aguascalientes-29607348,,,
Aguascalientes,"Se vende casa , Col. La Fuente, Aguascalientes, Aguascalientes, México, C.P. 20239, ID: 28730303",3350000.0,3.0,2.0,266.0,https://propiedades.com/inmuebles/casa-en-venta-la-fuente-aguascalientes-28730303,,,
Aguascalientes,"Venta casa en , Col. Villa de Nuestra Señora de La Asunción Sector Estación, Aguascalientes, Aguascalientes, México, C.P. 20126, ID: 28927054",1180000.0,2.0,2.0,,https://propiedades.com/inmuebles/casa-en-venta-villa-de-nuestra-senora-de-la-asuncion-sector-estacion-aguascalientes-28927054,,,
Aguascalientes,"Se vende casa en Av. Guadalupe Gonzalez, Paseos Loretta, 20326 Pocitos, Ags., Col. Cavalia, Aguascalientes, Aguascalientes, México, C.P. 20326, ID: 31008340",9900000.0,4.0,4.0,321.0,https://propiedades.com/inmuebles/casa-en-venta-av-guadalupe-gonzalez-paseos-loretta-20326-pocitos-ags-cavalia-aguascalientes-31008340,,,
Aguascalientes,"Casa disponible en venta en , Col. Paseos de Aguascalientes, Jesús María, Aguascalientes, México, C.P. 20924, ID: 29607254",2052000.0,,,84.0,https://propiedades.com/inmuebles/casa-en-venta-paseos-de-aguascalientes-aguascalientes-29607254,,,
Aguascalientes,"Casa en venta disponible en , Col. Los Calicantos, Aguascalientes, Aguascalientes, México, C.P. 20119, ID: 29607373",4800000.0,,4.0,284.0,https://propiedades.com/inmuebles/casa-en-venta-los-calicantos-aguascalientes-29607373,,,
Aguascalientes,"Casa en venta, , Col. La Salud, Aguascalientes, Aguascalientes, México, C.P. 20240, ID: 29607313",2475000.0,,3.0,225.0,https://propiedades.com/inmuebles/casa-en-venta-la-salud-aguascalientes-29607313,,,
Aguascalientes,"Casa en venta disponible en , Col. Condominio La terraza, Aguascalientes, Aguascalientes, México, C.P. 20298, ID: 29607476",2300000.0,3.0,2.0,117.0,https://propiedades.com/inmuebles/casa-en-venta-condominio-la-terraza-aguascalientes-29607476,,,
Aguascalientes,"Casa en venta disponible en , Col. La Purísima, Aguascalientes, Aguascalientes, México, C.P. 20259, ID: 29607355",12150000.0,,,988.0,,,,
Aguascalientes,", Col. Villa Sur, Aguascalientes, Aguascalientes, México, C.P. 20296, ID: 29607297",2650000.0,3.0,,149.0,https://propiedades.com/inmuebles/casa-en-venta-villa-sur-aguascalientes-29607297,,,
Aguascalientes,"Venta casa en , Col. Real del Sol, Aguascalientes, Aguascalientes, México, C.P. 20196, ID: 29460405",1300000.0,2.0,2.0,65.0,,,,
Aguascalientes,"Casa en venta disponible en , Col. Casa Blanca, Aguascalientes, Aguascalientes, México, C.P. 20297, ID: 29607427",2150000.0,4.0,2.0,165.0,https://propiedades.com/inmuebles/casa-en-venta-casa-blanca-aguascalientes-29607427,,,
Aguascalientes,"Se vende casa en AV FRANCISCO I #520, Col. La Purísima, Aguascalientes, Aguascalientes, México, C.P. 20259, ID: 29188926",490000.0,4.0,1.0,320.0,https://propiedades.com/inmuebles/casa-en-venta-av-francisco-i-520-la-purisima-aguascalientes-29188926,,,
Aguascalientes,", Col. Barlovento, Aguascalientes, Aguascalientes, México, C.P. 20286, ID: 29607429",3900000.0,4.0,4.0,150.0,https://propiedades.com/inmuebles/casa-en-venta-barlovento-aguascalientes-29607429,,,
Aguascalientes,", Col. Residencial las Plazas, Aguascalientes, Aguascalientes, México, C.P. 20126, ID: 29607296",5980000.0,3.0,3.0,340.0,https://propiedades.com/inmuebles/casa-en-venta-residencial-las-plazas-aguascalientes-29607296,,,
Aguascalientes,"Se vende casa en , Col. Trojes de Alonso, Aguascalientes, Aguascalientes, México, C.P. 20116, ID: 29607519",27500000.0,,,10000.0,,,,
Aguascalientes,"Se vende casa en , Col. Mangata, Aguascalientes, Aguascalientes, México, C.P. 20286, ID: 28789888",2055000.0,4.0,3.0,95.0,,,,
