clave_estado,estado,clave_municipio,municipio,Total_Creditos,Total_Monto_MXN,Ticket_Promedio_MXN,Creditos_Mujer,Creditos_Hombre,Pct_Creditos_Mujeres
30,Veracruz de Ignacio de la Llave,143,Santiago Tuxtla,1733,198684327.53988642,114647.62,13.0,14.0,48.15
30,Veracruz de Ignacio de la Llave,144,Sayula de Alemán,1832,173262440.8146912,94575.57,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,145,Soconusco,755,287359898.1237072,380609.14,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,146,Sochiapa,18,242113.92,13450.77,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,147,Soledad Atzompa,179,18388756.53,102730.48,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,148,Soledad de Doblado,555,167074511.86574,301035.16,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,149,Soteapan,1896,198268737.3850288,104572.12,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,150,Tamalín,114,3728352.935,32704.85,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,151,Tamiahua,399,41288557.4802152,103480.09,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,152,Tampico Alto,132,25001442.087864,189404.86,5.0,2.0,71.43
30,Veracruz de Ignacio de la Llave,153,Tancoco,35,2710200.6047847997,77434.3,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,154,Tantima,156,6015868.2125,38563.26,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,155,Tantoyuca,3761,516948444.8542312,137449.73,33.0,37.0,47.14
30,Veracruz de Ignacio de la Llave,156,Tatatila,133,7872410.8438,59191.06,0.0,0.0,0.0
30,Veracruz de Ignacio de la Llave,157,Castillo de Teayo,278,17551557.0690472,63135.1,7.0,2.0,77.78
