Estado,Pagina_Extraida,Fecha_Consulta,Precio,Ubicacion,Caracteristicas,URL_Propiedad
Yucatan,953,2026-04-06 07:10,"$1,420,000 MXN","Se vende casa Las Palmas, Col. Mérida, Mérida, Yucatán, México, C.P. 97203, ID: 26562079",2 Recámaras | 1 Baño | 84 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-las-palmas-merida-yucatan-26562079
Yucatan,953,2026-04-06 07:10,"$3,800,000 MXN","Casa en venta disponible en 54, Col. Merida Centro, Mérida, Yucatán, México, C.P. 97000, ID: 28219103",4 Recámaras | 1 Baño | 200 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-54-merida-centro-yucatan-28219103
Yucatan,953,2026-04-06 07:10,"$2,389,990 MXN","Casa disponible en venta en Col. San Nicolás Del Norte, Mérida, Yucatán, México, C.P. 97147, ID: 30492068",4 Recámaras | 3 Baños | 279 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-san-nicolas-del-norte-yucatan-30492068
Yucatan,953,2026-04-06 07:10,"$7,400,000 MXN","Venta de casa en , Col. Ejido de Chuburna, Mérida, Yucatán, México, C.P. 97300, ID: 26133629",4 Recámaras | 5 Baños | 350 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-ejido-de-chuburna-yucatan-26133629
Yucatan,953,2026-04-06 07:10,"$1,420,000 MXN","Venta de casa en 75, Col. Tixcacal Opichen, Mérida, Yucatán, México, C.P. 97249, ID: 30606509",2 Recámaras | 1 Baño | 89 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-75-tixcacal-opichen-yucatan-30606509
Yucatan,953,2026-04-06 07:10,"$3,100,000 MXN","Se vende casa en , Col. Dzitya, Mérida, Yucatán, México, C.P. 97302, ID: 30804642",2 Recámaras | 2 Baños | 180 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-dzitya-yucatan-30804642
Yucatan,953,2026-04-06 07:10,"$880,000 MXN","Venta de casa C. 78 #00, Col. San Antonio Xluch II, Mérida, Yucatán, México, C.P. 97290, ID: 29151388",3 Recámaras | 2 Baños | 84 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-c-78-00-san-antonio-xluch-ii-yucatan-29151388
Yucatan,954,2026-04-06 07:11,"$5,370,000 MXN",", Col. Las Margaritas de Cholul, Mérida, Yucatán, México, C.P. 97305, ID: 28405270",3 Recámaras | 4 Baños | 310 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-las-margaritas-de-cholul-yucatan-28405270
Yucatan,954,2026-04-06 07:11,"$2,950,000 MXN","Venta casa en , Col. Benito Juárez Ote, Mérida, Yucatán, México, C.P. 97178, ID: 25874484",3 Recámaras | 3 Baños | 221 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-benito-juarez-ote-yucatan-25874484
Yucatan,954,2026-04-06 07:11,"$9,550,000 MXN","Se vende casa en 26, Col. Monte Alban, Mérida, Yucatán, México, C.P. 97114, ID: 30667613",6 Recámaras | 6 Baños | 250 m 2,https://propiedades.comhttps://propiedades.com/inmuebles/casa-en-venta-26-monte-alban-yucatan-30667613
