Estado,Pagina_Extraida,Fecha_Consulta,Precio,Ubicacion,Caracteristicas,URL_Propiedad
Estado De Mexico,24,,"$4,450,000 MXN","Casa en venta, Av de las granjas, Col. Las Colonias, Atizapán de Zaragoza, México, México, C.P. 52953, ID: 28453685",2 Recámaras | 2 Baños | 156 m 2,
Estado De Mexico,24,,"$1,650,000 MXN","Se vende casa en Condominio Tampico #s/n, Col. Las Américas, Ecatepec de Morelos, México, México, C.P. 55076, ID: 30338000",3 Recámaras | 1 Baño | 74 m 2,https://propiedades.com/inmuebles/casa-en-venta-condominio-tampico-sn-las-americas-mexico-30338000
Estado De Mexico,24,,"$9,300,000 MXN","Venta casa en 2da Cerrada de Sor Juana Ines, Col. Acolman de Nezahualcóyotl Centro, Acolman, México, México, C.P. 55870, ID: 28621031",4 Recámaras | 4 Baños | 550 m 2,https://propiedades.com/inmuebles/casa-en-venta-2da-cerrada-de-sor-juana-ines-acolman-de-nezahualcoyotl-centro-mexico-28621031
Estado De Mexico,24,,"$1,500,000 MXN","Se vende casa San Marcos, Buenavista, Méx. #s/n, Col. Rinconada San Marcos, Tultitlán, México, México, C.P. 54954, ID: 30679640",4 Recámaras | 2 Baños | 67 m 2,
Estado De Mexico,24,,"$6,000,000 MXN","Venta de casa Calle Ciruelos 23 #23, Col. Granjas Chalco, Chalco, México, México, C.P. 56600, ID: 29404014",2 Recámaras | 2 Baños | 410 m 2,https://propiedades.com/inmuebles/casa-en-venta-calle-ciruelos-23-23-granjas-chalco-mexico-29404014
Estado De Mexico,24,,"$1,500,000 MXN","1, Col. Portal Ojo de Agua, Tecámac, México, México, C.P. 55760, ID: 28606866",2 Recámaras | 1 Baño | 1 m 2,https://propiedades.com/inmuebles/casa-en-venta-1-portal-ojo-de-agua-mexico-28606866
Estado De Mexico,24,,"$3,580,000 MXN","Venta casa en PRIVADA SIN NOMBRE #s/n, Col. Primer Barrio Cahuacan, Nicolás Romero, México, México, C.P. 54430, ID: 30728437",4 Recámaras | 1 Baño | 269 m 2,https://propiedades.com/inmuebles/casa-en-venta-privada-sin-nombre-sn-primer-barrio-cahuacan-mexico-30728437
Estado De Mexico,24,,"$6,450,000 MXN","Martin Pescador, Col. Vergel de Arboledas, Atizapán de Zaragoza, México, México, C.P. 52945, ID: 28626726",3 Recámaras | 3 Baños | 269 m 2,https://propiedades.com/inmuebles/casa-en-venta-martin-pescador-vergel-de-arboledas-mexico-28626726
Estado De Mexico,24,,"$5,000,000 MXN","Venta de casa Conjunto Urbano Condado del Valle, Col. San Miguel Totocuitlapilco, Metepec, México, México, C.P. 52143, ID: 28777889",3 Recámaras | 3 Baños | 213 m 2,https://propiedades.com/inmuebles/casa-en-venta-conjunto-urbano-condado-del-valle-san-miguel-totocuitlapilco-mexico-28777889
Estado De Mexico,24,,"$3,500,000 USD","Casa en venta disponible en 1, Col. Avándaro, Valle de Bravo, México, México, C.P. 51200, ID: 28606824",4 Recámaras | 5 Baños | 600 m 2,https://propiedades.com/inmuebles/casa-en-venta-1-avandaro-mexico-28606824
Estado De Mexico,24,,"$1,150,000 MXN","Casa disponible en venta en C. Iturbide, Tlapipinca, 56680 Cocotitlán, Méx. #s/n, Col. La Y (Atoyac), Cocotitlán, México, México, C.P. 56680, ID: 30804985",2 Recámaras | 1 Baño | 120 m 2,https://propiedades.com/inmuebles/casa-en-venta-c-iturbide-tlapipinca-56680-cocotitlan-mex-sn-la-y-atoyac-mexico-30804985
