Estado,Pagina_Extraida,Fecha_Consulta,Precio,Ubicacion,Caracteristicas,URL_Propiedad
Hidalgo,37,,"$2,325,000 MXN","Casa en venta disponible en , Col. Real del Sur, Pachuca de Soto, Hidalgo, México, C.P. 42082, ID: 30876388",3 Recámaras | 2 Baños | 105 m 2,https://propiedades.com/inmuebles/casa-en-venta-real-del-sur-hidalgo-30876388
Hidalgo,37,,"$1,750,000 MXN","Casa en venta disponible en Carretera Jorobas, Tula Km 12, 42994 El Pedregal, Hgo. #s/n, Col. Real Castilla, Atotonilco de Tula, Hidalgo, México, C.P. 42994, ID: 31018613",3 Recámaras | 1 Baño | 134 m 2,https://propiedades.com/inmuebles/casa-en-venta-carretera-jorobas-tula-km-12-42994-el-pedregal-hgo-sn-real-castilla-hidalgo-31018613
Hidalgo,37,,"$4,100,000 MXN","Casa en venta disponible en , Col. Fraccionamiento Altara 164, Pachuca de Soto, Hidalgo, México, C.P. 42082, ID: 30759475",4 Recámaras | 4 Baños | 262 m 2,
Hidalgo,37,,"$3,087,000 MXN","Casa en venta disponible en catarina #21, Col. Valle del Sol, Pachuca de Soto, Hidalgo, México, C.P. 42082, ID: 30753101",3 Recámaras | 3 Baños | 206 m 2,https://propiedades.com/inmuebles/casa-en-venta-catarina-21-valle-del-sol-hidalgo-30753101
Hidalgo,37,,"$4,000,000 MXN","Casa disponible en venta en X, Col. San Antonio, Pachuca de Soto, Hidalgo, México, C.P. 42083, ID: 28042014",4 Recámaras | 3 Baños | 210 m 2,https://propiedades.com/inmuebles/casa-en-venta-x-san-antonio-hidalgo-28042014
Hidalgo,37,,"$2,650,000 MXN","Casa disponible en venta en Mineral de Guadalupe #33, Col. Mineral Oro, Zempoala, Hidalgo, México, C.P. 43845, ID: 29507535",4 Recámaras | 3 Baños | 180 m 2,https://propiedades.com/inmuebles/casa-en-venta-mineral-de-guadalupe-33-mineral-oro-hidalgo-29507535
Hidalgo,37,,"$2,779,000 MXN","Casa en venta disponible en , Col. Plan de Ayala, Tulancingo de Bravo, Hidalgo, México, C.P. 43670, ID: 29820334",3 Recámaras | 2 Baños,https://propiedades.com/inmuebles/casa-en-venta-plan-de-ayala-hidalgo-29820334
Hidalgo,37,,"$3,300,000 MXN","Venta de casa en Salitre #S/N, Col. El Salitre, Tula de Allende, Hidalgo, México, C.P. 42808, ID: 30712047",3 Recámaras | 3 Baños | 177 m 2,https://propiedades.com/inmuebles/casa-en-venta-salitre-sn-el-salitre-hidalgo-30712047
Hidalgo,37,,"$1,490,000 MXN",", Col. Tizayuca, Tizayuca, Hidalgo, México, C.P. 43806, ID: 23205851",3 Recámaras | 2 Baños | 92 m 2,https://propiedades.com/inmuebles/casa-en-venta-tizayuca-hidalgo-23205851
Hidalgo,37,,"$1,550,000 MXN","Casa en venta, SANTA CECILIA #0, Col. San Luis, Mineral de la Reforma, Hidalgo, México, C.P. 42186, ID: 30864401",3 Recámaras | 2 Baños | 102 m 2,https://propiedades.com/inmuebles/casa-en-venta-santa-cecilia-san-luis-hidalgo-30864401
Hidalgo,37,,"$9,900,000 MXN","Se vende casa en AMANALI CONTRY CLUB, Col. Club de golf amanali, Tepeji del Río de Ocampo, Hidalgo, México, C.P. 42852, ID: 30434781",4 Recámaras | 4 Baños | 300 m 2,https://propiedades.com/inmuebles/casa-en-venta-amanali-contry-club-club-de-golf-amanali-hidalgo-30434781
Hidalgo,37,,"$2,550,000 MXN","Casa disponible en venta en monte olimpo #310, Col. Del Hiloche, Mineral del Monte, Hidalgo, México, C.P. 42137, ID: 30753162",2 Recámaras | 2 Baños | 123 m 2,https://propiedades.com/inmuebles/casa-en-venta-monte-olimpo-310-del-hiloche-hidalgo-30753162
Hidalgo,37,,"$13,400,000 MXN","Se vende casa Lagos Residencial, Col. Ex-Hacienda la Luz, Pachuca de Soto, Hidalgo, México, C.P. 42084, ID: 28448028",3 Recámaras | 4 Baños | 450 m 2,https://propiedades.com/inmuebles/casa-en-venta-lagos-residencial-exhacienda-la-luz-hidalgo-28448028
Hidalgo,37,,"$28,000,000 MXN","Casa disponible en venta en EX HACIENDA APULCO, Col. Apulco, Metepec, Hidalgo, México, C.P. 43407, ID: 15691214",1 Recámara | 14800 m 2,https://propiedades.com/inmuebles/casa-en-venta-ex-hacienda-apulco-apulco-hidalgo-15691214
Hidalgo,37,,"$785,000 MXN","Casa en venta disponible en Col. La Loma Napateco, Tulancingo de Bravo, Hidalgo, México, C.P. 43629, ID: 30888617",2 Recámaras | 1 Baño | 52 m 2,https://propiedades.com/inmuebles/casa-en-venta-la-loma-napateco-hidalgo-30888617
Hidalgo,37,,"$5,700,000 MXN","X, Col. Ciudad de los Niños, Pachuca de Soto, Hidalgo, México, C.P. 42078, ID: 20821073",5 Recámaras | 3 Baños | 368 m 2,https://propiedades.com/inmuebles/casa-en-venta-x-ciudad-de-los-ninos-hidalgo-20821073
Hidalgo,37,,"$5,560,000 MXN","Se vende casa ESTELA #16, Col. El Portezuelo, Mineral de la Reforma, Hidalgo, México, C.P. 42184, ID: 30458464",4 Recámaras | 5 Baños | 257 m 2,https://propiedades.com/inmuebles/casa-en-venta-estela-16-el-portezuelo-hidalgo-30458464
Hidalgo,37,,"$1,200,000 MXN","Venta de casa Peñaranda #110, Col. Real Toledo, Pachuca de Soto, Hidalgo, México, C.P. 42119, ID: 30660929",2 Recámaras | 2 Baños | 70 m 2,https://propiedades.com/inmuebles/casa-en-venta-penaranda-110-real-toledo-hidalgo-30660929
Hidalgo,37,,"$8,500,000 MXN","Casa disponible en venta en Alberto Braniff Manzana 6 Lote 6, Carlos Rovirosa, 42082 Pachuca de Soto, Hgo. #sn Int. sn , Col. Carlos Rovirosa, Pachuca de Soto, Hidalgo, México, C.P. 42082, ID: 29203594",7 Recámaras | 7 Baños | 516 m 2,https://propiedades.com/inmuebles/casa-en-venta-alberto-braniff-manzana-6-lote-6-carlos-rovirosa-42082-pachuca-de-soto-hgo-sn-carlos-rovirosa-hidalgo-29203594
Hidalgo,37,,"$4,200,000 MXN","Venta de casa en Hacienda Real, Col. Jonacapa, Huichapan, Hidalgo, México, C.P. 42430, ID: 19813977",4 Recámaras | 3 Baños | 340 m 2,https://propiedades.com/inmuebles/casa-en-venta-hacienda-real-jonacapa-hidalgo-19813977
Hidalgo,38,,"$7,000,000 MXN","Privada 16 de enero - Colonia Periodistas - Revolucion, Col. Periodista, Pachuca de Soto, Hidalgo, México, C.P. 42060, ID: 29773492",3 Recámaras | 4 Baños | 378 m 2,https://propiedades.com/inmuebles/casa-en-venta-privada-16-de-enero-colonia-periodistas-revolucion-periodista-hidalgo-29773492
Hidalgo,38,,"$3,950,000 MXN","Privada del Sauce, Col. Arboledas de San Javier, Pachuca de Soto, Hidalgo, México, C.P. 42084, ID: 30117354",3 Recámaras | 4 Baños | 168 m 2,https://propiedades.com/inmuebles/casa-en-venta-privada-del-sauce-arboledas-de-san-javier-hidalgo-30117354
Hidalgo,38,,"$8,800,000 MXN","Venta de casa Ahuehuetes, Col. Club de golf amanali, Tepeji del Río de Ocampo, Hidalgo, México, C.P. 42852, ID: 29281221",4 Recámaras | 350 m 2,https://propiedades.com/inmuebles/casa-en-venta-ahuehuetes-club-de-golf-amanali-hidalgo-29281221
Hidalgo,38,,"$1,300,000 MXN","Se vende casa en Col. Tulancingo, Tulancingo de Bravo, Hidalgo, México, C.P. 43647, ID: 30931788",4 Recámaras | 2 Baños | 100 m 2,https://propiedades.com/inmuebles/casa-en-venta-tulancingo-hidalgo-30931788
Hidalgo,38,,"$737,500 MXN","Venta de casa Chabacano #133, Col. San Cristóbal, Mineral de la Reforma, Hidalgo, México, C.P. 42186, ID: 28985571",2 Recámaras | 1 Baño | 50 m 2,https://propiedades.com/inmuebles/casa-en-venta-chabacano-133-san-cristobal-hidalgo-28985571
