ano,estado,municipio,pcu,tipo_vivienda,viviendas,clave_municipio,clave_estado
2017,México,Cuautitlán Izcalli,U2,Horizontal,120,121,15
2017,Chihuahua,Guachochi,U1,Horizontal,5,027,08
2016,Querétaro,San Juan del Río,U3,Horizontal,580,016,22
2015,Jalisco,Tonalá,U3,Vertical,1371,101,14
2016,Jalisco,Guadalajara,U2,Horizontal,180,039,14
2017,Michoacán de Ocampo,Pátzcuaro,FC,Horizontal,22,066,16
2016,Oaxaca,San Jacinto Amilpas,U1,Horizontal,3,157,20
2017,Michoacán de Ocampo,Uruapan,U2,Horizontal,23,102,16
2015,Quintana Roo,Solidaridad,U2,Horizontal,4049,008,23
2015,Tabasco,Nacajuca,U2,Horizontal,236,013,27
2016,Ciudad de México,Tlalpan,U1,Vertical,4,012,09
2017,Baja California Sur,Los Cabos,U1,Vertical,48,008,03
2016,Zacatecas,Guadalupe,U2,Horizontal,864,017,32
2016,Puebla,San Martín Texmelucan,U1,Horizontal,1,132,21
2015,Coahuila de Zaragoza,Allende,U2,Horizontal,62,003,05
2017,México,Zinacantepec,U3,Vertical,13,118,15
2017,Guanajuato,Irapuato,U1,Vertical,9,017,11
2015,Puebla,Cuautlancingo,U3,Horizontal,274,041,21
2016,Nuevo León,Santa Catarina,U2,Vertical,172,048,19
2017,Tabasco,Centro,U3,Horizontal,3,004,27
2016,Guanajuato,San Miguel de Allende,U3,Horizontal,141,003,11
2016,Chiapas,Comitán de Domínguez,U1,Horizontal,1,019,07
2017,Jalisco,Puerto Vallarta,FC,Vertical,486,067,14
2015,Jalisco,El Grullo,U3,Horizontal,1,037,14
2017,Yucatán,Valladolid,U3,Horizontal,46,102,31
2017,Chihuahua,Juárez,U1,Horizontal,407,037,08
2017,Aguascalientes,Aguascalientes,U3,Vertical,18,001,01
2016,Zacatecas,Morelos,FC,Horizontal,3,032,32
2015,Quintana Roo,Felipe Carrillo Puerto,FC,Horizontal,40,002,23
2017,México,Atizapán de Zaragoza,U2,Horizontal,2,013,15
2017,Campeche,Champotón,FC,Horizontal,20,004,04
2017,Guanajuato,Apaseo el Grande,FC,Horizontal,132,005,11
2016,Coahuila de Zaragoza,San Buenaventura,U1,Horizontal,3,031,05
2017,Puebla,Ocoyucan,FC,Horizontal,175,106,21
2016,Durango,Lerdo,U2,Horizontal,358,012,10
2015,Colima,Cuauhtémoc,FC,Horizontal,44,005,06
2015,Zacatecas,Fresnillo,U2,Horizontal,87,010,32
2015,Jalisco,Zapopan,U3,Horizontal,1373,120,14
2016,Nayarit,Bahía de Banderas,U3,Vertical,25,020,18
2015,Chiapas,Berriozábal,U2,Horizontal,48,012,07
2017,Coahuila de Zaragoza,Matamoros,U3,Vertical,180,017,05
2015,Sinaloa,Mazatlán,U1,Vertical,42,012,25
2015,Veracruz de Ignacio de la Llave,Tuxpan,U3,Horizontal,225,189,30
2015,Coahuila de Zaragoza,Múzquiz,U2,Horizontal,25,020,05
2015,Veracruz de Ignacio de la Llave,Alvarado,FC,Horizontal,38,011,30
2015,Veracruz de Ignacio de la Llave,Emiliano Zapata,U2,Vertical,68,065,30
2017,Tlaxcala,Panotla,U3,Vertical,24,024,29
2016,Veracruz de Ignacio de la Llave,Córdoba,FC,Horizontal,31,044,30
2017,Sinaloa,Ahome,U1,Horizontal,3,001,25
2017,Sonora,Caborca,U2,Horizontal,13,017,26
2017,Zacatecas,Río Grande,U2,Horizontal,8,039,32
2017,Guanajuato,León,U3,Vertical,720,020,11
2017,Tlaxcala,Santa Cruz Tlaxcala,U2,Vertical,144,026,29
2017,Nuevo León,Monterrey,U3,Horizontal,25,039,19
2016,Baja California Sur,Los Cabos,U3,Vertical,58,008,03
2016,Chihuahua,Nuevo Casas Grandes,U1,Horizontal,9,050,08
2016,San Luis Potosí,San Luis Potosí,U2,Vertical,93,028,24
2016,Morelos,Jojutla,FC,Vertical,56,012,17
2017,México,Cuautitlán Izcalli,U1,Horizontal,1,121,15
