ano,estado,municipio,pcu,tipo_vivienda,viviendas,clave_municipio,clave_estado
2016,Veracruz de Ignacio de la Llave,Mariano Escobedo,U2,Horizontal,59,101,30
2016,San Luis Potosí,Axtla de Terrazas,FC,Horizontal,3,053,24
2017,Guanajuato,Pénjamo,U1,Horizontal,2,023,11
2015,Hidalgo,Tizayuca,U1,Vertical,100,069,13
2017,Nuevo León,Apodaca,U3,Horizontal,1039,006,19
2015,Jalisco,Guadalajara,U2,Horizontal,38,039,14
2015,Ciudad de México,Iztacalco,U1,Vertical,553,006,09
2015,Coahuila de Zaragoza,Arteaga,U3,Horizontal,51,004,05
2017,Chiapas,Tapachula,FC,Vertical,48,089,07
2016,Tlaxcala,Xaloztoc,U1,Vertical,11,039,29
2015,Jalisco,Zapopan,U2,Horizontal,334,120,14
2017,Coahuila de Zaragoza,Francisco I. Madero,U2,Horizontal,124,009,05
2017,Tlaxcala,Ixtacuixtla de Mariano Matamoros,U2,Horizontal,4,015,29
2015,Jalisco,Arandas,FC,Horizontal,2,008,14
2017,Guanajuato,Irapuato,U3,Vertical,256,017,11
2017,Veracruz de Ignacio de la Llave,Tantoyuca,FC,Horizontal,1,155,30
2016,Coahuila de Zaragoza,Ramos Arizpe,U3,Horizontal,7,027,05
2015,Tlaxcala,Tlaxcala,U2,Vertical,26,033,29
2016,Sonora,Agua Prieta,U3,Horizontal,71,002,26
2017,México,Nezahualcóyotl,U2,Horizontal,2,058,15
2016,Querétaro,San Juan del Río,FC,Horizontal,74,016,22
2017,Yucatán,Ticul,FC,Horizontal,2,089,31
2015,Sinaloa,Mazatlán,U1,Horizontal,76,012,25
2017,Puebla,Huejotzingo,U2,Vertical,968,074,21
2016,Querétaro,Corregidora,U3,Horizontal,341,006,22
2017,Jalisco,Lagos de Moreno,U3,Horizontal,21,053,14
2017,San Luis Potosí,Soledad de Graciano Sánchez,U3,Vertical,8,035,24
2017,Guanajuato,Apaseo el Grande,FC,Vertical,138,005,11
2017,Jalisco,Zapopan,U3,Vertical,128,120,14
2016,Guerrero,Taxco de Alarcón,U3,Vertical,39,055,12
2017,Jalisco,Magdalena,U2,Horizontal,9,055,14
2016,Jalisco,Puerto Vallarta,FC,Vertical,312,067,14
2016,Guanajuato,León,U2,Horizontal,2575,020,11
2016,Aguascalientes,Aguascalientes,U2,Vertical,305,001,01
2015,Guerrero,Iguala de la Independencia,U3,Vertical,9,035,12
2015,San Luis Potosí,Soledad de Graciano Sánchez,FC,Horizontal,148,035,24
2015,Jalisco,Lagos de Moreno,U1,Horizontal,54,053,14
2016,Veracruz de Ignacio de la Llave,Veracruz,FC,Vertical,87,193,30
2015,Hidalgo,Tizayuca,FC,Horizontal,361,069,13
2017,Coahuila de Zaragoza,Acuña,U2,Horizontal,760,002,05
2017,Oaxaca,Oaxaca de Juárez,U2,Horizontal,4,067,20
2015,Sinaloa,Guasave,U2,Horizontal,383,011,25
2015,Querétaro,San Juan del Río,FC,Horizontal,51,016,22
2015,Coahuila de Zaragoza,Arteaga,U1,Horizontal,87,004,05
2016,Puebla,San Andrés Cholula,U1,Horizontal,2,119,21
2015,Chihuahua,Delicias,U2,Horizontal,311,021,08
2016,Veracruz de Ignacio de la Llave,Fortín,U3,Horizontal,30,068,30
2016,México,Tecámac,U2,Horizontal,1341,081,15
2015,México,Almoloya de Juárez,U2,Horizontal,150,005,15
2017,Sonora,General Plutarco Elías Calles,FC,Horizontal,10,070,26
2015,Hidalgo,Tulancingo de Bravo,U3,Horizontal,20,077,13
2016,Tlaxcala,Apizaco,U3,Horizontal,1,005,29
2017,Sonora,Guaymas,FC,Horizontal,6,029,26
2017,Coahuila de Zaragoza,Sabinas,U2,Horizontal,249,028,05
2016,Querétaro,El Marqués,U3,Vertical,30,011,22
2015,Chihuahua,Saucillo,FC,Horizontal,2,062,08
2015,San Luis Potosí,Axtla de Terrazas,FC,Horizontal,17,053,24
2015,Querétaro,Querétaro,U2,Horizontal,3057,014,22
2015,Guerrero,Chilpancingo de los Bravo,U2,Vertical,131,029,12
2016,Jalisco,Tepatitlán de Morelos,U1,Horizontal,6,093,14
2015,Sonora,Agua Prieta,U1,Horizontal,231,002,26
2015,Nuevo León,Santa Catarina,U1,Horizontal,37,048,19
2015,Chiapas,Tapachula,U3,Horizontal,17,089,07
2016,Morelos,Yecapixtla,U2,Horizontal,20,030,17
2015,Tabasco,Paraíso,U2,Horizontal,7,014,27
2017,Puebla,San Martín Texmelucan,U2,Horizontal,107,132,21
2015,Hidalgo,Cuautepec de Hinojosa,U3,Horizontal,74,016,13
2015,Oaxaca,Tlacolula de Matamoros,FC,Vertical,32,551,20
2016,Hidalgo,Tizayuca,U1,Horizontal,654,069,13
2016,Guanajuato,Villagrán,U2,Horizontal,84,044,11
2016,Tabasco,Centro,FC,Horizontal,83,004,27
2015,Sonora,Hermosillo,U1,Horizontal,36,030,26
2017,San Luis Potosí,Soledad de Graciano Sánchez,U2,Horizontal,1018,035,24
2017,Chihuahua,Aquiles Serdán,U2,Horizontal,114,004,08
2015,Guanajuato,Silao de la Victoria,U2,Horizontal,151,037,11
2015,Tlaxcala,Xaloztoc,U1,Horizontal,10,039,29
2015,Zacatecas,Jerez,U2,Horizontal,1,020,32
2016,Tamaulipas,Río Bravo,U2,Horizontal,83,033,28
2017,Tabasco,Comalcalco,U3,Horizontal,2,005,27
2015,Coahuila de Zaragoza,San Buenaventura,U2,Horizontal,6,031,05
2015,Veracruz de Ignacio de la Llave,Emiliano Zapata,U1,Horizontal,1,065,30
2016,Nuevo León,Juárez,U3,Horizontal,377,031,19
2015,Hidalgo,Tulancingo de Bravo,U1,Horizontal,21,077,13
2016,Colima,Armería,U1,Horizontal,4,001,06
2017,México,Cuautitlán Izcalli,U2,Horizontal,25,121,15
2017,Chihuahua,Guachochi,U1,Horizontal,5,027,08
2016,Querétaro,San Juan del Río,U3,Horizontal,349,016,22
2016,Jalisco,Guadalajara,U2,Horizontal,14,039,14
2016,Oaxaca,San Jacinto Amilpas,U1,Horizontal,4,157,20
2017,Michoacán de Ocampo,Uruapan,U2,Horizontal,15,102,16
2017,Querétaro,San Juan del Río,FC,Horizontal,92,016,22
2015,Quintana Roo,Solidaridad,U2,Horizontal,5001,008,23
2015,Tabasco,Nacajuca,U2,Horizontal,167,013,27
2016,Ciudad de México,Tlalpan,U1,Vertical,1,012,09
2017,Baja California Sur,Los Cabos,U1,Vertical,6,008,03
2016,Zacatecas,Guadalupe,U2,Horizontal,1165,017,32
2017,Chiapas,Tapachula,FC,Horizontal,21,089,07
2015,Coahuila de Zaragoza,Allende,U2,Horizontal,38,003,05
2017,Guanajuato,Irapuato,U1,Vertical,10,017,11
2015,Puebla,Cuautlancingo,U3,Horizontal,64,041,21
2016,Nuevo León,Santa Catarina,U2,Vertical,60,048,19
2017,Tabasco,Centro,U3,Horizontal,16,004,27
2016,Chiapas,Comitán de Domínguez,U1,Horizontal,1,019,07
2016,Tlaxcala,Zacatelco,U2,Vertical,15,044,29
2017,Jalisco,Puerto Vallarta,FC,Vertical,228,067,14
2015,Jalisco,El Grullo,U3,Horizontal,7,037,14
2017,Yucatán,Valladolid,U3,Horizontal,82,102,31
2017,Chihuahua,Juárez,U1,Horizontal,150,037,08
2016,Zacatecas,Morelos,FC,Horizontal,2,032,32
2017,Guanajuato,Apaseo el Grande,FC,Horizontal,121,005,11
2016,Coahuila de Zaragoza,San Buenaventura,U1,Horizontal,3,031,05
2017,Puebla,Ocoyucan,FC,Horizontal,7,106,21
2016,Durango,Lerdo,U2,Horizontal,341,012,10
2015,Colima,Cuauhtémoc,FC,Horizontal,61,005,06
2015,Zacatecas,Fresnillo,U2,Horizontal,82,010,32
2015,Coahuila de Zaragoza,Nadadores,U2,Horizontal,24,021,05
2016,Nuevo León,Linares,U3,Horizontal,200,033,19
2017,Veracruz de Ignacio de la Llave,Tlapacoyan,FC,Horizontal,1,183,30
2015,Jalisco,Zapopan,U3,Horizontal,672,120,14
2017,Chihuahua,Hidalgo del Parral,U2,Horizontal,36,032,08
2015,Chiapas,Berriozábal,U2,Horizontal,24,012,07
2017,Coahuila de Zaragoza,Matamoros,U3,Vertical,60,017,05
2015,Sinaloa,Mazatlán,U1,Vertical,18,012,25
2015,Veracruz de Ignacio de la Llave,Tuxpan,U3,Horizontal,4,189,30
2015,Coahuila de Zaragoza,Múzquiz,U2,Horizontal,35,020,05
2016,Veracruz de Ignacio de la Llave,Córdoba,FC,Horizontal,62,044,30
2017,Sonora,Caborca,U2,Horizontal,32,017,26
2017,Puebla,Juan C. Bonilla,U1,Vertical,272,090,21
2017,Zacatecas,Río Grande,U2,Horizontal,11,039,32
2017,Guanajuato,León,U3,Vertical,134,020,11
2017,Tlaxcala,Santa Cruz Tlaxcala,U2,Vertical,60,026,29
2016,Baja California Sur,Los Cabos,U3,Vertical,84,008,03
2016,Puebla,Amozoc,U3,Horizontal,8,015,21
2016,Chihuahua,Nuevo Casas Grandes,U1,Horizontal,19,050,08
2016,México,Texcoco,U1,Horizontal,12,099,15
2016,San Luis Potosí,San Luis Potosí,U2,Vertical,90,028,24
2016,Michoacán de Ocampo,Lázaro Cárdenas,U3,Horizontal,8,052,16
2015,Baja California,Tijuana,U3,Vertical,88,004,02
2016,Veracruz de Ignacio de la Llave,Huatusco,U2,Horizontal,2,071,30
2015,Sonora,Guaymas,U2,Horizontal,438,029,26
2017,Baja California,Mexicali,FC,Horizontal,5,002,02
2016,Chiapas,Tapachula,U1,Horizontal,14,089,07
2017,Jalisco,San Pedro Tlaquepaque,U1,Horizontal,9,098,14
2016,Aguascalientes,Pabellón de Arteaga,U2,Horizontal,23,006,01
2016,Michoacán de Ocampo,Maravatío,U2,Horizontal,2,050,16
2017,Jalisco,El Arenal,FC,Horizontal,193,009,14
2015,Yucatán,Tizimín,U2,Horizontal,2,096,31
2016,Tamaulipas,Tampico,FC,Horizontal,3,038,28
2017,Morelos,Ayala,U2,Horizontal,193,004,17
2016,Aguascalientes,Aguascalientes,FC,Horizontal,56,001,01
2017,Guanajuato,León,FC,Horizontal,244,020,11
2016,Veracruz de Ignacio de la Llave,Cosoleacaque,U2,Vertical,192,048,30
2015,Coahuila de Zaragoza,Villa Unión,FC,Horizontal,1,037,05
2015,Hidalgo,Acatlán,FC,Horizontal,4,001,13
2017,Baja California Sur,Comondú,U2,Horizontal,26,001,03
2017,Chihuahua,Aquiles Serdán,U3,Horizontal,28,004,08
2016,San Luis Potosí,San Luis Potosí,U2,Horizontal,1305,028,24
2016,Aguascalientes,Calvillo,FC,Horizontal,6,003,01
2015,Coahuila de Zaragoza,San Pedro,U2,Horizontal,3,033,05
2017,Veracruz de Ignacio de la Llave,Poza Rica de Hidalgo,U2,Horizontal,6,131,30
2016,Puebla,Tehuacán,U2,Horizontal,324,156,21
2017,Michoacán de Ocampo,La Piedad,U2,Vertical,42,069,16
2017,Sinaloa,Mazatlán,U2,Vertical,115,012,25
2016,México,Zinacantepec,FC,Horizontal,4,118,15
2015,Morelos,Yecapixtla,U2,Vertical,18,030,17
2016,Jalisco,Zapopan,FC,Horizontal,1367,120,14
2015,Nuevo León,Pesquería,U2,Horizontal,3425,041,19
2016,Veracruz de Ignacio de la Llave,San Andrés Tuxtla,U3,Horizontal,22,141,30
2015,México,San Mateo Atenco,U2,Horizontal,2,076,15
2015,Aguascalientes,Calvillo,U1,Horizontal,1,003,01
2015,Tlaxcala,La Magdalena Tlaltelulco,U2,Horizontal,2,048,29
2016,Tamaulipas,Matamoros,U2,Horizontal,1067,022,28
2015,Tabasco,Centro,U2,Horizontal,9,004,27
2017,Jalisco,Chapala,U2,Vertical,6,030,14
2016,Jalisco,Tonalá,U3,Vertical,302,101,14
2016,Oaxaca,San Pedro Ixtlahuaca,FC,Horizontal,1,310,20
2017,Jalisco,Zapopan,FC,Horizontal,1023,120,14
2015,Veracruz de Ignacio de la Llave,Xalapa,U2,Horizontal,94,087,30
2016,Michoacán de Ocampo,Apatzingán,U3,Horizontal,23,006,16
2015,Campeche,Campeche,U2,Vertical,224,002,04
2017,Querétaro,El Marqués,U3,Horizontal,317,011,22
2015,Veracruz de Ignacio de la Llave,Xico,FC,Vertical,6,092,30
2017,Guanajuato,Irapuato,FC,Horizontal,32,017,11
2015,Jalisco,Arandas,U1,Horizontal,61,008,14
2015,Jalisco,Juanacatlán,FC,Horizontal,868,051,14
2016,Sonora,San Luis Río Colorado,U3,Horizontal,1,055,26
2016,Jalisco,Tlajomulco de Zúñiga,FC,Vertical,2,097,14
2017,Nuevo León,Sabinas Hidalgo,U2,Horizontal,39,044,19
2016,Jalisco,Ocotlán,U2,Vertical,272,063,14
2017,Coahuila de Zaragoza,Múzquiz,U2,Horizontal,33,020,05
2016,México,Toluca,U3,Horizontal,39,106,15
2016,Guanajuato,Irapuato,U3,Horizontal,92,017,11
2017,Michoacán de Ocampo,Uruapan,U1,Horizontal,10,102,16
2016,Jalisco,Encarnación de Díaz,U3,Horizontal,1,035,14
2016,San Luis Potosí,San Luis Potosí,U1,Vertical,128,028,24
2016,México,Lerma,U3,Horizontal,325,051,15
2016,Sinaloa,Ahome,U2,Horizontal,1202,001,25
2017,Sinaloa,Culiacán,U2,Horizontal,1156,006,25
2016,Jalisco,Zapopan,U3,Horizontal,1090,120,14
2015,Jalisco,Puerto Vallarta,FC,Vertical,276,067,14
2016,Puebla,San Martín Texmelucan,U3,Horizontal,41,132,21
