ano,estado,municipio,pcu,tipo_vivienda,viviendas,clave_municipio,clave_estado
2017,Aguascalientes,Calvillo,U3,Horizontal,8,003,01
2015,Veracruz de Ignacio de la Llave,Coatzacoalcos,U2,Vertical,768,039,30
2015,Sonora,Cananea,U2,Horizontal,19,019,26
2017,Guanajuato,Salamanca,U2,Horizontal,4,027,11
2015,Michoacán de Ocampo,Apatzingán,U3,Horizontal,70,006,16
2017,San Luis Potosí,San Luis Potosí,U2,Horizontal,440,028,24
2015,Guerrero,Acapulco de Juárez,U2,Vertical,1563,001,12
2015,Guanajuato,Salamanca,FC,Horizontal,384,027,11
2015,Coahuila de Zaragoza,Saltillo,U3,Vertical,4,030,05
2015,Jalisco,Ixtlahuacán de los Membrillos,U3,Horizontal,39,044,14
2015,Baja California,Tijuana,FC,Vertical,728,004,02
2015,Veracruz de Ignacio de la Llave,Tuxpan,U2,Horizontal,20,189,30
2015,Guanajuato,Cortazar,U1,Horizontal,2,011,11
2016,Hidalgo,Tulancingo de Bravo,U2,Horizontal,8,077,13
2016,Jalisco,La Barca,U2,Horizontal,15,018,14
2015,Guanajuato,León,U1,Horizontal,370,020,11
2017,Jalisco,Tepatitlán de Morelos,U3,Horizontal,75,093,14
2016,México,Chicoloapan,U2,Horizontal,111,029,15
2015,Michoacán de Ocampo,Jiquilpan,U2,Horizontal,27,045,16
2016,Michoacán de Ocampo,La Piedad,U1,Vertical,40,069,16
2015,Nuevo León,García,U1,Horizontal,99,018,19
2017,Tlaxcala,Tlaxcala,U1,Vertical,16,033,29
2015,Veracruz de Ignacio de la Llave,Pánuco,U2,Horizontal,7,123,30
2015,Jalisco,Ixtlahuacán del Río,FC,Horizontal,4,045,14
2016,San Luis Potosí,Soledad de Graciano Sánchez,U3,Horizontal,200,035,24
2017,Tlaxcala,Yauhquemehcan,U1,Vertical,6,043,29
2017,Tlaxcala,Tepetitla de Lardizábal,U2,Horizontal,30,019,29
2016,Oaxaca,Santa Cruz Xoxocotlán,U3,Horizontal,26,385,20
2015,Yucatán,Umán,U1,Horizontal,316,101,31
2016,Morelos,Cuernavaca,U1,Vertical,17,007,17
2017,Guerrero,Chilpancingo de los Bravo,U1,Vertical,70,029,12
2015,Jalisco,Tlajomulco de Zúñiga,FC,Horizontal,800,097,14
2016,Veracruz de Ignacio de la Llave,Medellín de Bravo,U3,Horizontal,56,105,30
2015,Veracruz de Ignacio de la Llave,Cosoleacaque,U1,Vertical,144,048,30
2015,Sonora,Caborca,U3,Horizontal,128,017,26
2017,San Luis Potosí,Cárdenas,U2,Horizontal,11,005,24
2016,Morelos,Yautepec,U3,Horizontal,70,029,17
2015,Tamaulipas,Tampico,U1,Vertical,32,038,28
2017,Sonora,Navojoa,U2,Horizontal,159,042,26
2015,Tabasco,Nacajuca,FC,Horizontal,2,013,27
2016,Querétaro,Querétaro,U1,Horizontal,269,014,22
